category,name,url
Instituciones-UI,Universidad Intercultural Maya de Quintana Roo,http://www.uimqroo.edu.mx/
Instituciones-UI,Universidad Intercultural de San Luis Potosí,http://www.uicslp.edu.mx/
Instituciones-UI,Universidad Intercultural de Tlaxcala,https://uit.edu.mx/
Instituciones-UI,Universidad Autónoma Indígena de México,http://uais.edu.mx/portal/
Instituciones-UI,Universidad Intercultural del Estado de Tabasco,http://www.uiet.edu.mx/
Instituciones-UI,Universidad del Pueblo Yaqui,https://uniyaqui.sonora.edu.mx/
Instituciones-UI,Universidad Intercultural de Jalisco,https://www.uij.edu.mx/
Instituciones-UI,Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Instituciones-UPs,Universidad Politécnica de Aguascalientes,http://www.upa.edu.mx/
Instituciones-UPs,Universidad Politécnica de Baja California,http://www.upbc.edu.mx/
Instituciones-UPs,Universidad Politécnica de Chiapas,http://www.upchiapas.edu.mx/
Instituciones-UPs,Universidad Politécnica de Tapachula,http://www.uptapachula.edu.mx/
Instituciones-UPs,Universidad Politécnica de Chihuahua,http://www.upchihuahua.edu.mx/
Instituciones-UPs,Universidad Politécnica de Piedras Negras,https://uppn.edu.mx/
Instituciones-UPs,Universidad Politécnica de Ramos Arizpe,http://upra.mx/
Instituciones-UPs,Universidad Politécnica Cuencamé,http://www.upcuencame.edu.mx/portal/
Instituciones-UPs,Universidad Politécnica de Durango,http://www.unipolidgo.edu.mx/
Instituciones-UPs,Universidad Politécnica de Gómez Palacio,http://www.upgop.edu.mx/
Instituciones-UPs,Universidad Politécnica del Valle de México,http://www.upvm.edu.mx/
Instituciones-UPs,Universidad Politécnica de Guanajuato,https://upgto.edu.mx/
Instituciones-UPs,Universidad Politécnica Juventino Rosas,http://www.upjr.edu.mx/
Instituciones-UPs,Universidad Politécnica de Pénjamo,http://www.uppenjamo.edu.mx/
Instituciones-UPs,Universidad Politécnica del Bicentenario,https://upbicentenario.edu.mx/
Instituciones-UPs,Universidad Politécnica del Estado de Guerrero,http://www.upeg.edu.mx/
Instituciones-UPs,Universidad Politécnica de Francisco I. Madero,http://www.upfim.edu.mx/
Instituciones-UPs,Universidad Politécnica de Huejutla,http://www.uphuejutla.edu.mx/
Instituciones-UPs,Universidad Politécnica Metropolitana de Hidalgo,http://www.upmetropolitana.edu.mx/
Instituciones-UPs,Universidad Politécnica de Pachuca,http://www.upp.edu.mx/
Instituciones-UPs,Universidad Politécnica de Tulancingo,http://www.upt.edu.mx/
Instituciones-UPs,Universidad Politécnica de la Zona Metropolitana de Guadalajara,http://www.upzmg.edu.mx/
Instituciones-UPs,Universidad Politécnica de Lázaro Cárdenas,http://www.uplc.edu.mx/
Instituciones-UPs,Universidad Politécnica de Uruapan,https://upu.edu.mx/
Instituciones-UPs,Universidad Politécnica del Estado Morelos,https://www.upemor.edu.mx/
Instituciones-UPs,Universidad Politécnica de Apodaca,https://www.upapnl.edu.mx/
Instituciones-UPs,Universidad Politécnica de Amozoc,http://www.upamozoc.edu.mx/
Instituciones-UPs,Universidad Politécnica Metropolitana de Puebla,http://www.metropoli.edu.mx/
Instituciones-UPs,Universidad Politécnica de Puebla,http://www.uppuebla.edu.mx/
Instituciones-UPs,Universidad Politécnica de Querétaro,http://www.upq.mx/
Instituciones-UPs,Universidad Politécnica de Santa Rosa Jáuregui,http://www.upsrj.edu.mx/
Instituciones-UPs,Universidad Politécnica de Bacalar,http://www.upb.edu.mx/
Instituciones-UPs,Universidad Politécnica de Quintana Roo,http://www.upqroo.edu.mx/
Instituciones-UPs,Universidad Politécnica de San Luis Potosí,http://www.upslp.edu.mx/upslp/
Instituciones-UPs,Universidad Politécnica del Mar y la Sierra,http://www.upmys.edu.mx/
Instituciones-UPs,Universidad Politécnica de Sinaloa,http://www.upsin.edu.mx/
Instituciones-UPs,Universidad Politécnica del Valle de Évora,http://www.upve.edu.mx/
Instituciones-UPs,Universidad Politécnica del Centro,http://www.updelgolfo.mx/upgm/
Instituciones-UPs,Universidad Politécnica del Golfo de México,http://www.updelgolfo.mx/upgm/
Instituciones-UPs,Universidad Politécnica Mesoamericana,http://www.upm.edu.mx/
Instituciones-UPs,Universidad Politécnica de Altamira,http://www.upalt.edu.mx/
Instituciones-UPs,Universidad Politécnica de la Región Ribereña,http://www.uprr.edu.mx/
Instituciones-UPs,Universidad Politécnica de Victoria,http://www.upvictoria.edu.mx/
Instituciones-UPs,Universidad Politécnica de Tlaxcala Región Poniente,https://uptrepregionponiente.edu.mx/
Instituciones-UPs,Universidad Politécnica de Tlaxcala,http://www.uptlax.edu.mx/
Instituciones-UPs,Universidad Politécnica de Huatusco,http://www.uphuatusco.edu.mx/
Instituciones-UPs,Universidad Politécnica del Sur de Zacatecas,http://www.upsz.edu.mx/
Instituciones-UPs,Universidad Politécnica de Zacatecas,http://www.upz.edu.mx/
Instituciones-UPs,Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Instituciones-UT,"Universidad Tecnológica ""Emiliano Zapata"" del Estado de Morelos",http://www.utez.edu.mx/
Instituciones-UT,Universidad Tecnológica de Acapulco,http://www.utacapulco.edu.mx/
Instituciones-UT,Universidad Tecnológica de Aguascalientes,http://www.utags.edu.mx/
Instituciones-UT,Universidad Tecnológica de Altamira,http://www.utaltamira.edu.mx/
Instituciones-UT,Universidad Tecnológica Paso del Norte,https://www.utpn.edu.mx/
Instituciones-UT,Universidad Tecnológica de Bahía de Banderas,http://www.utbb.edu.mx/
Instituciones-UT,Universidad Tecnológica de Cadereyta,http://www.utcadereyta.edu.mx/
Instituciones-UT,Universidad Tecnológica de Calvillo,http://www.utcalvillo.edu.mx/
Instituciones-UT,Universidad Tecnológica de Camargo,http://www.utcamargo.edu.mx/
Instituciones-UT,Universidad Tecnológica de Campeche,http://www.utcam.edu.mx/
Instituciones-UT,Universidad Tecnológica de Cancún,http://www.utcancun.edu.mx/
Instituciones-UT,Universidad Tecnológica de Candelaria,http://utecan.edu.mx/
Instituciones-UT,Universidad Tecnológica de Chetumal,http://www.utchetumal.edu.mx/
Instituciones-UT,Universidad Tecnológica de Chihuahua,http://www.utch.edu.mx/
Instituciones-UT,Universidad Tecnológica de Ciudad Juárez,http://www.utcj.edu.mx/
Instituciones-UT,Universidad Tecnológica de Coahuila,http://www.utc.edu.mx/
Instituciones-UT,Universidad Tecnológica de Corregidora,http://captacion.utcorregidora.edu.mx/
Instituciones-UT,Universidad Tecnológica de Culiacán,http://utculiacan.edu.mx/
Instituciones-UT,Universidad Tecnológica de Durango,http://www.utd.edu.mx/
Instituciones-UT,Universidad Tecnológica de Escuinapa,http://utescuinapa.edu.mx/
Instituciones-UT,Universidad Tecnológica de Guaymas,http://www.utguaymas.edu.mx/utg/
Instituciones-UT,"Universidad Tecnológica de Gutiérrez Zamora, Veracruz",https://utgz.edu.mx/
Instituciones-UT,"Universidad Tecnológica de Hermosillo, Sonora",http://www.uthermosillo.edu.mx/
Instituciones-UT,Universidad Tecnológica de Huejotzingo,http://www.uth.edu.mx/
Instituciones-UT,Universidad Tecnológica de Izúcar de Matamoros,http://www.utim.edu.mx/
Instituciones-UT,Universidad Tecnológica de Jalisco,http://www.utj.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Babícora,http://www.utb.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Costa,http://www.utdelacosta.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Costa Grande de Guerrero,http://www.utcgg.edu.mx/
Instituciones-UT,Universidad Tecnológica de La Huasteca Hidalguense,http://www.uthh.edu.mx/
Instituciones-UT,Universidad Tecnológica de La Laguna,http://www.itlalaguna.edu.mx/
Instituciones-UT,Universidad Tecnológica de La Laguna Durango,https://www.utlagunadurango.edu.mx/
Instituciones-UT,Universidad Tecnológica de La Paz,http://www.utlp.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Región Carbonífera Coahuila,http://www.utrc.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Región Centro de Coahuila,http://www.utrcc.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Región Norte de Guerrero,http://utrng.edu.mx/
Instituciones-UT,Universidad Tecnológica de La Riviera Maya,http://www.utrivieramaya.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Selva,http://www.laselva.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Sierra,http://utdelasierra.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Sierra Hidalguense,http://www.utsh.edu.mx/
Instituciones-UT,Universidad Tecnológica de la Sierra Sur de Oaxaca,http://utsso.wordpress.com/
Instituciones-UT,Universidad Tecnológica de la Tarahumara,http://uttguachochi.blogspot.mx/
Instituciones-UT,Universidad Tecnológica de La Zona Metropolitana de Guadalajara,http://utzmg.edu.mx/home/
Instituciones-UT,Universidad Tecnológica de la Zona Metropolitana del Valle de México,https://utvam.edu.mx/
Instituciones-UT,Universidad Tecnológica de León,http://www.utleon.edu.mx/
Instituciones-UT,Universidad Tecnológica de los Valles Centrales de Oaxaca,http://www.utvco.edu.mx/
Instituciones-UT,Universidad Tecnológica de Manzanillo,http://www.utmanzanillo.edu.mx/
Instituciones-UT,Universidad Tecnológica de Matamoros,http://www.utmatamoros.edu.mx/
Instituciones-UT,Universidad Tecnológica de Morelia,https://ut-morelia.edu.mx/
Instituciones-UT,Universidad Tecnológica de Nayarit,http://www.utnay.edu.mx/
Instituciones-UT,Universidad Tecnológica de Nezahualcóyotl,http://www.utn.edu.mx/
