university_name,university_url
Universidad Politécnica de Tlaxcala Región Poniente,https://uptrepregionponiente.edu.mx/
Universidad Politécnica de Tlaxcala,http://www.uptlax.edu.mx/
Universidad Politécnica de Huatusco,http://www.uphuatusco.edu.mx/
Universidad Politécnica del Sur de Zacatecas,http://www.upsz.edu.mx/
Universidad Politécnica de Zacatecas,http://www.upz.edu.mx/
Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
"Universidad Tecnológica ""Emiliano Zapata"" del Estado de Morelos",http://www.utez.edu.mx/
Universidad Tecnológica de Acapulco,http://www.utacapulco.edu.mx/
Universidad Tecnológica de Aguascalientes,http://www.utags.edu.mx/
Universidad Tecnológica de Altamira,http://www.utaltamira.edu.mx/
Universidad Tecnológica Paso del Norte,https://www.utpn.edu.mx/
Universidad Tecnológica de Bahía de Banderas,http://www.utbb.edu.mx/
Universidad Tecnológica de Cadereyta,http://www.utcadereyta.edu.mx/
Universidad Tecnológica de Calvillo,http://www.utcalvillo.edu.mx/
Universidad Tecnológica de Camargo,http://www.utcamargo.edu.mx/
Universidad Tecnológica de Campeche,http://www.utcam.edu.mx/
Universidad Tecnológica de Cancún,http://www.utcancun.edu.mx/
Universidad Tecnológica de Candelaria,http://utecan.edu.mx/
Universidad Tecnológica de Chetumal,http://www.utchetumal.edu.mx/
Universidad Tecnológica de Chihuahua,http://www.utch.edu.mx/
Universidad Tecnológica de Ciudad Juárez,http://www.utcj.edu.mx/
Universidad Tecnológica de Corregidora,http://captacion.utcorregidora.edu.mx/
Universidad Tecnológica de Culiacán,http://utculiacan.edu.mx/
Universidad Tecnológica de Durango,http://www.utd.edu.mx/
Universidad Tecnológica de Guaymas,http://www.utguaymas.edu.mx/utg/
"Universidad Tecnológica de Gutiérrez Zamora, Veracruz",https://utgz.edu.mx/
"Universidad Tecnológica de Hermosillo, Sonora",http://www.uthermosillo.edu.mx/
Universidad Tecnológica de Huejotzingo,http://www.uth.edu.mx/
Universidad Tecnológica de Izúcar de Matamoros,http://www.utim.edu.mx/
Universidad Tecnológica de Jalisco,http://www.utj.edu.mx/
Universidad Tecnológica de la Babícora,http://www.utb.edu.mx/
Universidad Tecnológica de la Costa,http://www.utdelacosta.edu.mx/
Universidad Tecnológica de la Costa Grande de Guerrero,http://www.utcgg.edu.mx/
Universidad Tecnológica de La Huasteca Hidalguense,http://www.uthh.edu.mx/
Universidad Tecnológica de La Laguna,http://www.itlalaguna.edu.mx/
Universidad Tecnológica de La Laguna Durango,https://www.utlagunadurango.edu.mx/
Universidad Tecnológica de La Paz,http://www.utlp.edu.mx/
Universidad Tecnológica de la Región Carbonífera Coahuila,http://www.utrc.edu.mx/
Universidad Tecnológica de la Región Centro de Coahuila,http://www.utrcc.edu.mx/
Universidad Tecnológica de la Región Norte de Guerrero,http://utrng.edu.mx/
Universidad Tecnológica de La Riviera Maya,http://www.utrivieramaya.edu.mx/
Universidad Tecnológica de la Selva,http://www.laselva.edu.mx/
Universidad Tecnológica de la Sierra,http://utdelasierra.edu.mx/
Universidad Tecnológica de la Sierra Hidalguense,http://www.utsh.edu.mx/
Universidad Tecnológica de la Sierra Sur de Oaxaca,http://utsso.wordpress.com/
Universidad Tecnológica de la Tarahumara,http://uttguachochi.blogspot.mx/
Universidad Tecnológica de La Zona Metropolitana de Guadalajara,http://utzmg.edu.mx/home/
Universidad Tecnológica de la Zona Metropolitana del Valle de México,https://utvam.edu.mx/
Universidad Tecnológica de León,http://www.utleon.edu.mx/
Universidad Tecnológica de los Valles Centrales de Oaxaca,http://www.utvco.edu.mx/
Universidad Tecnológica de Manzanillo,http://www.utmanzanillo.edu.mx/
Universidad Tecnológica de Matamoros,http://www.utmatamoros.edu.mx/
Universidad Tecnológica de Morelia,https://ut-morelia.edu.mx/
Universidad Tecnológica de Nayarit,http://www.utnay.edu.mx/
Universidad Tecnológica de Nezahualcóyotl,http://www.utn.edu.mx/
"Universidad Tecnológica de Nogales, Sonora",http://www.utnogales.edu.mx/
Universidad Tecnológica de Nuevo Laredo,http://www.utnuevolaredo.edu.mx/
Universidad Tecnológica de Oriental,https://utdeoriental.edu.mx/
Universidad Tecnológica de Paquimé,http://utpaquime.edu.mx/
Universidad Tecnológica de Parral,http://www.utparral.edu.mx/
Universidad Tecnológica de Poanas,http://utpdgo.blogspot.mx/
Universidad Tecnológica de Puebla,http://www.utpuebla.edu.mx/
Universidad Tecnológica de Puerto Peñasco,http://utpp.edu.mx/
Universidad Tecnológica de Querétaro,http://www.uteq.edu.mx/
Universidad Tecnológica de Rodeo,http://utrodeo.edu.mx/
Universidad Tecnológica de Salamanca,http://www.utsalamanca.edu.mx/
"Universidad Tecnológica de San Juan del Río, Querétaro",http://www.utsjr.edu.mx/
Universidad Tecnológica de San Luis Potosí,http://www.utslp.edu.mx/
Universidad Tecnológica de San Luis Río Colorado,http://www.utslrc.edu.mx/
Universidad Tecnológica de San Miguel de Allende,http://www.utsma.edu.mx/
Universidad Tecnológica de Santa Catarina,http://www.utsc.edu.mx/
Universidad Tecnológica de Tabasco,http://www.uttab.edu.mx/
Universidad Tecnológica de Tecamachalco,https://uttecam.edu.mx/
Universidad Tecnológica de Tecámac,http://www.uttecamac.edu.mx/
Universidad Tecnológica de Tehuacán,http://www.uttehuacan.edu.mx/
Universidad Tecnológica de Tijuana,http://www.uttijuana.edu.mx/
Universidad Tecnológica de Tlaxcala,http://www.uttlaxcala.edu.mx/
Universidad Tecnológica de Torreón,http://www.utt.edu.mx/
Universidad Tecnológica de Tula-Tepeji,http://www.uttt.edu.mx/
Universidad Tecnológica de Tulancingo,https://www.utectulancingo.edu.mx/
Universidad Tecnológica de Xicotepec de Juárez,https://utxicotepec.edu.mx/
Universidad Tecnológica del Centro,http://www.utcentro.edu.mx/
Universidad Tecnológica del Centro de Veracruz,http://www.utcv.edu.mx/
Universidad Tecnológica del Estado de Zacatecas,http://www.utzac.edu.mx/
Universidad Tecnológica del Mar de Tamaulipas Bicentenario,http://www.utmart.edu.mx/
Universidad Tecnológica del Mayab,http://www.utdelmayab.edu.mx/
Universidad Tecnológica del Norte de Aguascalientes,http://www.utna.edu.mx/
Universidad Tecnológica del Norte de Coahuila,https://www.utnc.edu.mx/
Universidad Tecnológica del Norte de Guanajuato,http://www.utng.edu.mx/
Universidad Tecnológica del Poniente,http://www.utponiente.edu.mx/
Universidad Tecnológica del Sur del Estado de Morelos,http://www.utsem-morelos.edu.mx/
Universidad Tecnológica del Sur del Estado de México,http://www.utsem.edu.mx/
Universidad Tecnológica del Sureste de Veracruz,http://www.utsv.com.mx/
Universidad Tecnológica del Suroeste de Guanajuato,http://www.utsoe.edu.mx/
Universidad Tecnológica del Usumacinta,http://www.utusumacinta.edu.mx/
Universidad Tecnológica del Valle de Toluca,http://utvtol.org.mx/
Universidad Tecnológica del Valle del Mezquital,http://www.utvm.edu.mx/
Universidad Tecnológica El Retoño,https://utr.edu.mx/
Universidad Tecnológica Linares,http://www.utl.edu.mx/
Universidad Tecnológica Metropolitana,http://www.utmetropolitana.edu.mx/
Universidad Tecnológica Regional del Sur,http://www.utregionaldelsur.edu.mx/
Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Centro Interdisciplinario de Investigación y Docencia en Educación Técnica,http://www.ciidet.edu.mx/
Centro Regional de Optimización y Desarrollo de Equipo Celaya,http://www.crodecelaya.edu.mx/
Centro Regional de Optimización y Desarrollo de Equipo Chihuahua,http://www.crodechihuahua.edu.mx/
Centro Regional de Optimización y Desarrollo de Equipo Mérida,https://crodemerida.tecnm.mx/
Centro Regional de Optimización y Desarrollo de Equipo Orizaba,http://www.crodeorizaba.edu.mx/
Instituto Tecnológico de Acapulco,http://www.it-acapulco.edu.mx/
Instituto Tecnológico de Agua Prieta,http://www.itap.edu.mx/
Instituto Tecnológico de Aguascalientes,http://www.ita.mx/
Instituto Tecnológico de Altamira,https://www.altamira.tecnm.mx/
Instituto Tecnológico de Altiplano de Tlaxcala,http://altiplano.tecnm.mx/
Instituto Tecnológico de Álvaro Obregón,http://www.itao.edu.mx/
Instituto Tecnológico de Apizaco,http://www.itapizaco.edu.mx/
Instituto Tecnológico de Atitalaquia,http://www.itatitalaquia.edu.mx/
Instituto Tecnológico de Boca del Rio,https://bdelrio.tecnm.mx/
Instituto Tecnológico de Campeche,http://www.itcampeche.edu.mx/
Instituto Tecnológico de Cancún,http://www.itcancun.edu.mx/
Instituto Tecnológico de Celaya,http://www.itc.mx/
Instituto Tecnológico de Cerro Azul,http://www.itcerroazul.edu.mx/
Instituto Tecnológico de Chetumal,http://www.itchetumal.edu.mx/
Instituto Tecnológico de China,http://www.itchina.edu.mx/
Instituto Tecnológico de Ciudad Altamirano,http://www.italtamirano.edu.mx/
Instituto Tecnológico de Ciudad Cuauhtémoc,https://www.cdcuauhtemoc.tecnm.mx/
Instituto Tecnológico de Ciudad Guzmán,https://www.cdguzman.tecnm.mx/
Instituto Tecnológico de Ciudad Jiménez,http://www.cdjimenez.tecnm.mx/index.html
Instituto Tecnológico de Ciudad Juárez,http://cdjuarez.tecnm.mx/
Instituto Tecnológico de Ciudad Madero,https://www.cdmadero.tecnm.mx/
Instituto Tecnológico de Ciudad Valles,http://www.tecvalles.mx/web/
Instituto Tecnológico de Ciudad Victoria,http://www.itvictoria.edu.mx/
Instituto Tecnológico de Colima,http://www.itcolima.edu.mx/
Instituto Tecnológico de Comitán,http://www.itcomitan.edu.mx/
Instituto Tecnológico de Comitancillo,https://comitancillo-tecnm.mx/
Instituto Tecnológico de Conkal,https://conkal.tecnm.mx/index.php/es/
Instituto Tecnológico de Costa Grande,https://www.costagrande.tecnm.mx/
Instituto Tecnológico de Cuautla,https://www.cuautla.tecnm.mx/
Instituto Tecnológico de Culiacán,http://www.itculiacan.edu.mx/
Instituto Tecnológico de Durango,http://www.itdurango.edu.mx/
Instituto Tecnológico de El Llano Aguascalientes,http://www.itllano.edu.mx/
Instituto Tecnológico de El Salto,http://www.itelsalto.edu.mx/
Instituto Tecnológico de Frontera Comalapa,https://fcomalapa.tecnm.mx/
